Id,community,label
FALSO TESTIMONIO,1,FALSO TESTIMONIO
FAVORECIMIENTO,3,FAVORECIMIENTO
FAVORECIMIENTO DE LA FUGA,0,FAVORECIMIENTO DE LA FUGA
FAVORECIMIENTO EN EL DELITO DE CONTRABANDO DE HIDROCARBUROS O SUS DERIVADOS,5,FAVORECIMIENTO EN EL DELITO DE CONTRABANDO DE HIDROCARBUROS O SUS DERIVADOS
FAVORECIMIENTO EN EL DELITO DE HURTO DE HIDROCARBUROS O SUS DERIVADOS,4,FAVORECIMIENTO EN EL DELITO DE HURTO DE HIDROCARBUROS O SUS DERIVADOS
FEMINICIDIO,0,FEMINICIDIO
FINANCIACIÓN DEL TERRORISMO Y DE ACTIVIDADES DE DELINCUENCIA ORGANIZADA Y ADMINISTRACIÓN DE RECURSOS CON ACTIVIDADES TERRORISTAS Y DE DELINCUENCIA ORGANIZADA,2,FINANCIACIÓN DEL TERRORISMO Y DE ACTIVIDADES DE DELINCUENCIA ORGANIZADA Y ADMINISTRACIÓN DE RECURSOS CON ACTIVIDADES TERRORISTAS Y DE DELINCUENCIA ORGANIZADA
FRAUDE A RESOLUCION JUDICIAL,3,FRAUDE A RESOLUCION JUDICIAL
FRAUDE PROCESAL,1,FRAUDE PROCESAL
FALSA DENUNCIA CONTRA PERSONA DETERMINADA,1,FALSA DENUNCIA CONTRA PERSONA DETERMINADA
FUGA DE PRESOS,7,FUGA DE PRESOS
GESTION INDEBIDA DE RECURSOS SOCIALES,3,GESTION INDEBIDA DE RECURSOS SOCIALES
HOMICIDIO,2,HOMICIDIO
FALSA AUTOACUSACION,2,FALSA AUTOACUSACION
HOMICIDIO EN PERSONA PROTEGIDA,2,HOMICIDIO EN PERSONA PROTEGIDA
ACTOS DE BARBARIE,2,ACTOS DE BARBARIE
HURTO,7,HURTO
HURTO DE HIDROCARBUROS O SUS DERIVADOS,4,HURTO DE HIDROCARBUROS O SUS DERIVADOS
HURTO POR MEDIOS INFORMATICOS SEMEJANTES,3,HURTO POR MEDIOS INFORMATICOS SEMEJANTES
FALSEDAD PARA OBTENER PRUEBA DE HECHO VERDADERO,3,FALSEDAD PARA OBTENER PRUEBA DE HECHO VERDADERO
ILICITA EXPLOTACION COMERCIAL,6,ILICITA EXPLOTACION COMERCIAL
ILÍCITA ACTIVIDAD DE PESCA,4,ILÍCITA ACTIVIDAD DE PESCA
ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,4,ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES
IMITACION O SIMULACION DE ALIMENTOS PRODUCTOS O SUSTANCIAS,6,IMITACION O SIMULACION DE ALIMENTOS PRODUCTOS O SUSTANCIAS
INCENDIO,7,INCENDIO
INCESTO,0,INCESTO
INDUCCION A LA PROSTITUCION,0,INDUCCION A LA PROSTITUCION
INJURIA POR VIAS DE HECHO,0,INJURIA POR VIAS DE HECHO
INSEMINACION ARTIFICIAL O TRANSFERENCIA DE OVULO FECUNDADO NO CONSENTIDAS,1,INSEMINACION ARTIFICIAL O TRANSFERENCIA DE OVULO FECUNDADO NO CONSENTIDAS
INSTIGACION AL TERRORISMO,2,INSTIGACION AL TERRORISMO
INTERCEPTACION DE DATOS INFORMATICOS,3,INTERCEPTACION DE DATOS INFORMATICOS
INTERES INDEBIDO O ILICITO EN LA CELEBRACION DE CONTRATOS,1,INTERES INDEBIDO O ILICITO EN LA CELEBRACION DE CONTRATOS
INTIMIDACION (NOTA:SOLO PARA JURISDICCION INDIGENA),0,INTIMIDACION (NOTA:SOLO PARA JURISDICCION INDIGENA)
